Reference Alignment,My Alignment
(3 Author -> 5 Author: 1.0  =  ),(3 Author -> 5 Author: 2.0  =  )
(25 Review -> 97 Review: 1.0  =  ),(25 Review -> 97 Review: 2.0  =  )
(19 Person -> 77 Person: 1.0  =  ),(19 Person -> 77 Person: 2.0  =  )
(26 Reviewer -> 98 Reviewer: 1.0  =  ),(26 Reviewer -> 98 Reviewer: 2.0  =  )
False positives (12 Document -> 43 Document: 2.0  =  ),
False positives (10 ConferenceMember -> 54 IASTED_member: 0.6  =  ),
False positives (21 ProgramCommittee -> 122 Technical_commitee: 0.6  =  ),
False positives (6 Chairman -> 13 Brief_introduction_for_Session_chair: 0.55  =  ),
False positives (8 Conference -> 3 Activity_before_conference: 0.6  =  ),
False positives (2 AssociatedChair -> 100 Session_chair: 0.6  =  ),
False positives (56 writePaper -> 40 write: 0.55  =  ),
