Reference Alignment,My Alignment
(8 Conference -> 13 Conference: 1.0  =  ),(8 Conference -> 13 Conference: 2.0  =  ),[],[]
(16 Paper -> 31 Paper: 1.0  =  ),(16 Paper -> 31 Paper: 2.0  =  ),[12 Document],[19 Document]
Unmatched:(23 ProgramCommitteeMember -> 37 Program_Committee_member: 1.0  =  ),,[10 ConferenceMember],[28 Organizator]
(12 Document -> 19 Document: 1.0  =  ),(12 Document -> 19 Document: 2.0  =  ),[],[]
(9 ConferenceChair -> 22 General_Chair: 1.0  =  ),(9 ConferenceChair -> 22 General_Chair: 0.6  =  ),[10 ConferenceMember],[28 Organizator]
(25 Review -> 43 Review: 1.0  =  ),(25 Review -> 43 Review: 2.0  =  ),[12 Document],[19 Document]
Unmatched:(21 ProgramCommittee -> 36 Program_Committee: 1.0  =  ),,[],[12 Committee]
Unmatched:(22 ProgramCommitteeChair -> 35 Program_Chair: 1.0  =  ),,[23 ProgramCommitteeMember],[28 Organizator]
(3 Author -> 2 Author: 1.0  =  ),(3 Author -> 2 Author: 2.0  =  ),[28 User, 10 ConferenceMember],[45 Speaker]
(19 Person -> 32 Person: 1.0  =  ),(19 Person -> 32 Person: 2.0  =  ),[],[]
(15 email -> 3 E-mail: 1.0  =  ),(15 email -> 3 E-mail: 1.0  =  ),Person,Person
(53 submitPaper -> 26 submit: 1.0  =  ),(53 submitPaper -> 26 submit: 0.6666666865348816  =  ),Author,Author
False positives (23 ProgramCommitteeMember -> 36 Program_Committee: 0.800000011920929  =  ),,[10 ConferenceMember],[12 Committee]
False positives (22 ProgramCommitteeChair -> 37 Program_Committee_member: 0.6666666865348816  =  ),,[23 ProgramCommitteeMember],[28 Organizator]
False positives (2 AssociatedChair -> 35 Program_Chair: 0.6  =  ),,[10 ConferenceMember],[28 Organizator]
False positives (21 ProgramCommittee -> 12 Committee: 0.65  =  ),,[],[]
False positives (17 PaperAbstract -> 1 Abstract: 0.65  =  ),,[16 Paper],[19 Document]
